salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at
37,slalom,seattle,,,,,senior engineer,Engineering,Senior,5,1,93000,0,15000,0,,3/21/16 13:05
39,magento commerce,"charleston, sc",SC,US,32.78,-79.99,member of technical staff,Other,,19,1,131000,,,80000,Remote,3/21/16 13:06
40,oracle,"bala cynwyd, pa",PA,US,40.01,-75.22,student intern co-op,Other,Intern,0,0,24,0,0,$0,,3/21/16 13:06
45,klick,"toronto, canada",,CA,60,-95,full stack developer,Web,,5,3,85000,0,5000,0,,3/21/16 13:06
46,small consulting shop,"durham, nc",NC,US,35.98,-78.91,developer,Software,,10,3.5,150000,,,,,3/21/16 13:06
47,amazon,seattle,,,,,sde1,Software,1,0,0,95000,20000,,30000,this was in 2012,3/21/16 13:06
48,nbc universal,new york,NY,US,38,-97,senior analyst,Data,Senior,2,1.5,55000,0,0,0,Dont go there,3/21/16 13:07
50,30 person startup,san francisco,,,,,software engineer,Software,,5,2,125000,0,0,0,options were granted but have no real monetary value,3/21/16 13:07
53,liveops,santa clara,,,,,sr engineer,Engineering,Senior,6,3,145000,0,20000,15000,,3/21/16 13:07
55,expedia,chicago,,,,,software engineer,Software,,,2.5,78000,5000,4000,,Expedia sucks! Don't come here...,3/21/16 13:08
59,quick left,boulder co,CO,US,38,-97,senior developer,Software,Senior,6,1,120000,0,0,500,,3/21/16 13:08
60,1&1 development srl,"bucharest, romania",,OM,21,57,software developer,Software,,5,2,17264,0,0,0,,3/21/16 13:08
62,early-stage startup,"stockholm, sweden",,SE,62,15,ios developer,Software,,8,0.8,36.5,0,0,0,"Yup. That's what I make. And trust me, I'm a pretty decent developer.",3/21/16 13:09
64,rei systems,"sterling, va",VA,US,38.86,-77.05,associate software engineer,Software,,1,1,55000,,,,,3/21/16 13:09
69,mitsubishi hitachi power systems america,"orlando, florida",FL,US,28.5,-81.37,steam turbine service engineer,Engineering,,4,1,80001,10000,,,$10k was relocation.,3/21/16 13:10
70,startup,"detroit, mi",MI,US,42.38,-83.1,senior engineer,Engineering,Senior,8,3,100000,0,0,80000,,3/21/16 13:10
74,sf startup,"san francisco, ca",CA,US,37.77,-122.41,web developer,Web,,5,0.5,125000,5000,10,n/a,,3/21/16 13:10
77,intel,"hillsboro, oregon",OR,US,45.52,-122.85,product development engineer,Software,,2.5,2.5,82000,,,,,3/21/16 13:11
79,city of austin,"austin, tx",TX,US,30.26,-97.74,it programmer,Other,,40,15,103000,0,1500,0,,3/21/16 13:11
88,early-stage startup,"denver, co",CO,US,39.82,-105.1,director of product,Management,,5,3,80000,,,50000,,3/21/16 13:11
89,social tables,washington dc,WA,US,38,-97,engineer,Engineering,,2,1,80000,5000,,,,3/21/16 13:11
90,loyalty new zealand,"wellington, new zealand",,NZ,-41,174,software engineer,Software,,2,2,50000,,5000,,,3/21/16 13:12
91,freelance,"denver, co",CO,US,39.82,-105.1,software engineer,Software,,20,11,190000,0,0,0,Estimated - bill @ $145-180/hr; don't work year-round.,3/21/16 13:12
95,.gov,"albany, ny",NY,US,42.66,-73.79,architect,Other,,18,16,119000,0,2000,0,,3/21/16 13:12
100,hedge fund,ct,,,,,investment professional,Other,,10,3.5,500000,50000,250000,150000,This is low relative to field/experience.,3/21/16 13:12
101,twilio,san francisco,,,,,software engineer new grad,Software,,1,1,115000,10000,,~80k options,,3/21/16 13:12
103,stronghold data,joplin mo,MO,US,38,-97,teir two tech,Other,,9,4,38000,0,1000,0,,3/21/16 13:12
104,self-employed,"jersey city, nj",,JE,49.25,-2.17,"consultant, cto as needed",Other,,8,1,325000,0,0,0,,3/21/16 13:13
105,employer x,phils,,,,,web developer,Web,,8,2,100000,,,,,3/21/16 13:13
106,financial sector,"bristol, uk",,,,,software analyst,Data,,2,1,23000,0,500,0,,3/21/16 13:13
109,comcast,"philadelphia, pa",PA,US,39.95,-75.16,python engineer,Engineering,,5,1,138000,0,0,0,"W2 Contractor, 70$/hr. ",3/21/16 13:13
112,linkedin,"san jose, ca",CA,US,37.38,-121.89,site reliability engineer,Engineering,,4,1,140000,,14000,43750,,3/21/16 13:13
114,nara logics,"cambridge, ma",MA,US,42.35,-71.06,software developer,Software,,12,4,115000,,,,"Startup, granted ~0.4% stock options",3/21/16 13:14
115,cloudflare,san francisco,,,,,solution eningeer,Other,,,,83000,,25000,,,3/21/16 13:14
117,mckinsey & company,san francisco,,,,,business analyst,Data,,1.5,1.5,90000,10000,22000,0,,3/21/16 13:14
118,small b2b company,"barcelona, spain",,ES,40,-4,system administrator,Management,,10,10,1575,0,3000,0,,3/21/16 13:14
120,microsoft,"redmond, wa",WA,US,47.68,-122.12,software engineer 1,Software,1,1,1,105000,15000,,50000,,3/21/16 13:14
124,nyc singles looking to fuck,new york city,NY,US,38,-97,horny,Other,,3,0.5,420000,69,69,69,NOT A SCAM! FUCK HOT SINGLES TONIGHT!,3/21/16 13:14
125,startup,"san francisco, ca",CA,US,37.77,-122.41,software engineer,Software,,2.5,1,100000,0,0,,Completed coding bootcamp in 2013,3/21/16 13:14
127,cornell,"ithaca, ny",NY,US,42.44,-76.5,phd student,Other,,4,4,28500,0,0,0,,3/21/16 13:14
128,microsoft,"redmond, wa",WA,US,47.68,-122.12,sde,Software,,4,2,275000,0,2,Part of Annual Bonus,,3/21/16 13:14
129,booking,amsterdam,,,,,perl developer,Software,,10,1,61.7,,25000,35k USD,,3/21/16 13:15
130,amazon,seattle,,,,,software development engineer,Software,,0,1,95000,22000,20000,52000,,3/21/16 13:15
132,too small to say,"oklahoma city, ok",OK,US,35.46,-97.51,web developer general it,Web,,10,7.5,88000,0,8000,2500,,3/21/16 13:15
135,ibm,chicago,,,,,linux engineer,Engineering,,1,1,84000,,,,,3/21/16 13:15
136,synopsys,san francisco,,,,,"software engineer, sr 1",Software,1,3,2,115000,0,10000,5000,,3/21/16 13:15
138,analytics company,"raleigh, nc",NC,US,35.82,-78.65,software developer,Software,,11,2,103000,,12000,,,3/21/16 13:16
142,epic,"verona, wisconsin",WI,US,42.98,-89.53,software developer,Software,,4,2,94000,,2000,,,3/21/16 13:16
143,evry,"karlstad, sweden",,SE,62,15,consultant,Other,,3,2,380000,,,,,3/21/16 13:16
151,b2b,nj,,,,,senior developer,Software,Senior,10,3,140000,0,10000,0,,3/21/16 13:17
152,texas tech  system,"lubbock, tx",TX,US,33.57,-101.87,programmer analyst iii,Data,3,7,3,55000,0,0,0,,3/21/16 13:17
153,unc-ch/ncsu joint biomedical engr. dept,"raleigh, nc",NC,US,35.82,-78.65,phd student,Other,,4,1,24073,0,0,0,NIH Paygrade covers Health+Tuition,3/21/16 13:17
156,investment bank,"new york, ny",NY,US,40.71,-73.99,m&a analyst,Data,,1,1,85000,15000,70000,0,Soul sucking,3/21/16 13:17
158,microsoft,"london, uk",,,,,software engineer,Software,,3,0,86742,0,8532,Â£3500,,3/21/16 13:17
159,apple,sunnyvale,,,,,senior software engineer,Software,Senior,10,2,151000,20000,40000,10000,,3/21/16 13:17
161,ihs,poland,,PL,52,20,software engineer,Software,,4,2,30000,,,2500,,3/21/16 13:17
162,conde nast,"new york city, ny",NY,US,40.71,-73.99,software engineer - level 2,Software,2,8,4,112000,0,2,0,,3/21/16 13:17
166,pariveda solutions,dallas,,,,,consultant ii,Other,2,3,2,77000,5000,0,,Pay is uniform across all markets with exception of NY and SF. Insane  benefits.,3/21/16 13:18
167,mid-size fundraising startup,"san francisco, ca",CA,US,37.77,-122.41,senior software engineer,Software,Senior,11,0,165000,0,0,0.15%,,3/21/16 13:18
168,starbucks coffee company,"seattel, wa",WA,US,38,-97,senior application developer,Software,Senior,10,3,127000,0,15,10,,3/21/16 13:18
175,tumblr,2,,,,,content strategist/blogger advocate,Other,,,2,129857,,,,,3/21/16 13:19
176,linkedin,1,,,,,senior web developer,Web,Senior,10,4,165000,,15000,50000,,3/21/16 13:19
180,yahoo!,1,,,,,senior software development engineer,Software,Senior,10,6,93000,15000,9000,,,3/21/16 13:20
182,factset,1,,,,,software engineer,Software,,5,3,120000,5000,0,0,,3/21/16 13:20
184,tango.me,1,,,,,senior data engineer,Data,Senior,10,1,130000,,,,,3/21/16 13:20
185,jp morgan,114,,,,,senior java dev,Other,Senior,8,5,45000,0,3000,0,,3/21/16 13:21
186,microsoft,2,,,,,sde ii,Software,2,4,4,125000,50000,10000,5000,,3/21/16 13:21
187,google nyc,1,,,,,swe iii,Software,3,10,1,135500,50000,22300,43700,signing bonus in form of paid relocation,3/21/16 13:21
189,rockfish interactive,1,,,,,developer ii,Software,2,5,2,65000,0,1950,0,,3/21/16 13:21
191,apple,95014,CA,US,37.3,-122.09,senior system engineer,Engineering,Senior,9,1,130000,20000,,40000,,3/21/16 13:21
193,amazon,98102,WA,US,47.61,-122.33,ux designer ii,Other,2,1,1,12000,55000,15000,20000,,3/21/16 13:21
195,walmartlabs,94086,CA,US,37.38,-122.01,principal/lead software engineer,Software,,14,4,190000,150000,50000,75000,,3/21/16 13:21
205,iceland,london,,,,,sales assistant,Other,,0,0,8000,0,0,0,"Great retail job, Â£7.98 an hour, higher than the competition bar from Aldi, Lidl ",3/21/16 13:22
211,intel,"hillsboro, oregon",OR,US,45.52,-122.85,computer hardware engineer,Engineering,,1.5,1.5,72000,0,0,0,,3/21/16 13:23
212,google,mountain view,,,,,senior software engineer,Software,Senior,15,5,178000,15000,50000,100000,Love every day of my job,3/21/16 13:23
214,vertafore,bothell,,,,,software engineer in devops i,Software,1,1,1,50000,0,,0,"perks include onsite barristas, free drinks several expense paid corporate events a year (party cruise, etc.)",3/21/16 13:23
215,amazon,98105,WA,US,47.61,-122.33,ux designer ii,Other,2,1,1,120000,0,0,0,,3/21/16 13:26
216,caesartenders,0,,,,,software engineer,Software,,7,2,62000,0,0,0,,3/21/16 13:23
217,small ~15 startup,israel,,IL,31.47,35.13,senior software engineer,Software,Senior,8,2,90000,,,,Annual stock exists but don't remember what it is,3/21/16 13:23
219,municipality,"bremerhaven, germany",,DE,51,9,software developer,Software,,11,7,54100,,3595,,,3/21/16 13:23
222,microsoft,98004,WA,US,47.61,-122.21,software engineer 2,Software,2,4,3.5,115000,50000,15000,7500,,3/21/16 13:23
223,startup,berlin,,,,,lead engineer,Engineering,,7,0,78000,,,,,3/21/16 13:23
227,small web biz,palo alto,,,,,engineer,Engineering,,2,0.2,140,10,,,,3/21/16 13:24
230,analyst warehouse,dallas tx,TX,US,38,-97,software developer,Software,,10,1,90000,0,0,0,,3/21/16 13:24
231,self,austin,,,,,owner,Other,,12,5,80000,0,120000,0,,3/21/16 13:24
234,vmware,seattle,,,,,sr. mts,Other,Senior,10,1,155000,25000,15000,,,3/21/16 13:24
235,amazon,san francisco,,,,,sdeii,Software,,6,4,130000,,,150000,Via Acquisition,3/21/16 13:24
237,fyber gmbh,berlin,,,,,senior software developer,Software,Senior,9,4,65000,3000,0,0,,3/21/16 13:24
239,twilio,san francisco,,,,,senior software engineer,Software,Senior,2.5,2.5,132000,5000,0,,,3/21/16 13:24
245,facebook,seattle,,,,,software engineer,Software,,6,4,225000,50000,45000,200000,,3/21/16 13:24
249,dupont pioneer,"johnston, iowa",IA,US,41.68,-93.7,software developer,Software,,10,3,125000,10000,15000,0,,3/21/16 13:25
252,newspaper company,california,CA,US,38,-97,cto,Management,,8,1,100000,0,0,0,,3/21/16 13:25
253,bhhc,"omaha, ne",NE,US,41.15,-95.92,fp&a analyst,Data,,3,3,46500,0,0,0,,3/21/16 13:25
254,optum,"plymouth, mn",MN,US,44.96,-93.26,software engineer,Software,,6,1,85000,3000,5000,1000,,3/21/16 13:25
255,mathworks,boston metro,,,,,senior software engineer,Software,Senior,10,4,115000,0,10000,0,,3/21/16 13:25
256,american express,"phoenix, arizona",AZ,US,33.45,-112.06,intern,Other,Intern,0,0,60000,5000,,,"Summer Intern, June-August",3/21/16 13:25
261,hewlett packard enterprise,sunnyvale,,,,,software engineer,Software,,1,1,100000,10000,0,3000,,3/21/16 13:26
262,salesforce,"seattle, wa",WA,US,47.61,-122.33,senior software engineer,Software,Senior,,2,125000,,18000,,,3/21/16 13:26
264,autodesk,san francisco,,,,,software engineer,Software,,5,0,130000,0,13000,5000,,3/21/16 13:26
265,directv/at&t,"culver city, ca",CA,US,33.99,-118.39,application engineer,Engineering,,5,4,79000,0,10000,0,"Easy job, lots of training. But things might change when AT&T starts taking over.",3/21/16 13:26
267,facebook,menlo park,,,,,software engineer,Software,,3,1,150000,50000,15000,100000,,3/21/16 13:26
268,accretive technology group,seattle,,,,,software developer,Software,,1,1,75000,0,2000,0,,3/21/16 13:26
273,sunpower,"richmond, ca",CA,US,37.96,-122.38,financial engineer,Engineering,,0,1,87000,0,8000,0,Mainly software for finance,3/21/16 13:26
276,mri software llc,"solon, oh",OH,US,41.38,-81.44,software engineer,Software,,3,1,48500,,,,,3/21/16 13:27
277,amazon,seattle,,,,,sde,Software,,4,4,91000,20000,0,35000,,3/21/16 13:27
279,pricespy,"Ã_ngelholm, sweden",,SE,62,15,agent developer,Software,,0,1,300000,0,0,0,,3/21/16 13:27
280,-,remote us,,,,,senior security engineer,Engineering,Senior,12,3,115000,0,46000,0,,3/21/16 13:27
282,microsoft,redmond,,,,,sde ii,Software,2,3,3,145000,50000,28000,,,3/21/16 13:27
283,synapticon,stuttgart,,,,,robotics/embedded systems engineer,Engineering,,0,0,43000,0,0,0,5 years old company,3/21/16 13:27
287,dropbox,san francisco,,,,,software engineer,Software,,5,2.5,140,30,0,,,3/21/16 13:27
292,quattro folia,helsinki,,,,,senior software engineer,Software,Senior,9,1,6000,6000,0,0,,3/21/16 13:27
294,justice systems,"albuquerque, nm",NM,US,35.11,-106.62,software engineer,Software,,2,1,51000,0,0,0,,3/21/16 13:27
297,google,mountain view,,,,,software engineer ii,Software,2,2,2,131000,15000,20000,50000,,3/21/16 13:28
301,apple,cupertino,,,,,data engineer/software engineer,Data,,6,2.5,145000,25000,20,100k $ annually,,3/21/16 13:28
302,pariveda solutions,dallas,,,,,consultant 2,Other,2,2,2,77000,5000,0,0,,3/21/16 13:28
305,a stealth startup,washington d.c.,WA,US,38,-97,lead,Other,,17,1,175000,0,10000,0,,3/21/16 13:28
306,vmware,palo alto,,,,,member of technical staff,Other,,4,3,125000,40000,16000,,,3/21/16 13:28
311,myself,"rennes, france",,FR,46,2,3d graphics engineer,Engineering,,5,1.5,15000,,,,4,3/21/16 13:28
313,iqmetrix,"regina, sk canada",,CA,60,-95,software developer,Software,,0,1,55000,0,0,0,,3/21/16 13:29
317,delaware north,"buffalo, ny",NY,US,42.88,-78.85,data visualization engineer,Data,,3,0,80000,,,,,3/21/16 13:29
318,pindrop,atlanta,,,,,operations engineer,Engineering,,4,1,85000,,8500,,,3/21/16 13:29
319,twitter,sf,,,,,senior software engineer,Software,Senior,8,1,170000,0,0,35000,,3/21/16 13:29
324,series c saas provider,"san francisco, ca",CA,US,37.77,-122.41,full stack engineer,Web,,16,2,132000,0,0,0,,3/21/16 13:29
325,garmin,"olathe, ks",KS,US,38.88,-94.81,software engineer 2,Software,2,2.75,2.75,72200,4000,0,0,No annual stock bonus but you get offered an ESPP with discounted stock rates that guarantees a 15% return on up to 10% invested every 6 months. 75 cents on the dollar 401k matching and a an additional 5% of your base salary added to it for free. Rest of the benefits are great as well. Boring to work for.,3/21/16 13:29
326,of oklahoma,"norman, ok",OK,US,35.22,-97.34,it support technician iii,Other,3,16,14,37500,0,0,0,,3/21/16 13:29
327,aig,"wilton, ct usa",CT,US,41.18,-73.42,microsoft developer for release management (grade 22),Software,,20,2,165000,20000,0,0,,3/21/16 13:29
329,picwell,philadelphia,,,,,data scientist,Data,,2,1,75000,0,0,0,,3/21/16 13:30
337,nope,united states,,US,38,-97,software developer,Software,,5,4,61000,1000,1000,0,,3/21/16 13:30
340,amazon,"seattle, wa",WA,US,47.61,-122.33,sde i,Software,1,2,0.5,105000,30000,,,,3/21/16 13:30
342,igs energy,"columbus, oh",OH,US,39.98,-82.98,application developer,Software,,3,1,65000,0,5000,0,,3/21/16 13:30
347,software company,palo alto,,,,,ceo,Management,,10,2,100000,,,,,3/21/16 13:30
351,spotx,"denver, co",CO,US,39.82,-105.1,software engineer,Software,,7,2,84000,1500,1500,0,,3/21/16 13:31
352,solarcity,sf,,,,,software engineer,Software,,3,2,120000,0,0,30000,,3/21/16 13:31
355,perk,"austin, tx",TX,US,30.26,-97.74,developer,Software,,2,0,54000,2500,0,0,,3/21/16 13:31
358,building robotics,"oakland, ca",CA,US,37.72,-122.2,senior backend engineer,Engineering,Senior,9,2,145000,,,,,3/21/16 13:31
363,pomeroy,cincinatti,,,,,solutions architect,Other,,23,2,130000,,10000,0,,3/21/16 13:31
364,ibm,"san diego, ca",CA,US,32.71,-117.16,software developer,Software,,9,8,151000,15000,5000,5000,,3/21/16 13:31
365,quicken loans,"detroit, mi",MI,US,42.38,-83.1,sr. software engineer,Software,Senior,5,3,82000,0,13000,0,,3/21/16 13:32
366,bank,"stockholm, sweden",,SE,62,15,junior developer,Software,Junior,1,1,48000,0,3000,3000 USD,,3/21/16 13:32
367,ericsson,"southampton, uk",,,,,support engineer,Engineering,,3,3,62568,0,0,0,,3/21/16 13:32
368,goldman sachs,london,,,,,analyst (technology),Data,,0,0,60000,13000,5000,0,Amounts converted from GBP to USD,3/21/16 13:32
371,of washington,"seattle, wa",WA,US,47.61,-122.33,data scientist,Data,,10,4,101000,0,0,0,,3/21/16 13:32
373,verizon,tampa,,,,,internal help desk,Other,Intern,4,4,38000,0,3000,,,3/21/16 13:32
374,state of oregon,oregon,OR,US,38,-97,senior software developer,Software,Senior,10,5,80000,0,0,0,,3/21/16 13:32
378,evertec,puerto rico,,PR,18.25,-66.5,software developer,Software,,2.5,1.5,40000,,2,,,3/21/16 13:33
379,nist,"gaithersburg, md",MD,US,39.14,-77.21,postdoc,Other,,7,1,67000,0,0,0,,3/21/16 13:33
386,emc,seattle,,,,,senior sde,Software,Senior,5,5,132000,10000,15000,47600,,3/21/16 13:33
387,bank,"warsaw, poland",,PL,52,20,data mining analyst,Data,,6,5,30000,0,0,0,,3/21/16 13:33
388,digital agency,nyc,,,,,analyst,Data,,3,2,80000,0,1000,0,,3/21/16 13:33
389,nasdaq,philadelphia,,,,,engineer,Engineering,,8,6,105000,,21000,21000,Stock doesnt seem to vest on a consistent schedule. Right now seems to be a 25/25/50% vest over 3 years.,3/21/16 13:33
390,microsoft,redmond,,,,,sde 2,Software,2,5,3,125000,5000,14000,3000,,3/21/16 13:33
391,bi esfera,"asunciÃ_n, paraguay",,PY,-23,-58,senior developer,Software,Senior,10,4,38400,0,3200,0,,3/21/16 13:33
393,guidewire,"dublin, ireland",,IE,53,-8,consultant,Other,,4,3,42000,0,6300,"â‚¬20,000",,3/21/16 13:34
394,spotify,nyc,,,,,engineer,Engineering,,10,2,187500,10,,20000,,3/21/16 13:34
395,new york mets,"new york, new york",NE,US,38,-97,pitcher,Other,,20,3,1000000,4500000,500000,0,Bartolo Colon,3/21/16 13:34
399,ticket broker,northern california,CA,US,38,-97,chief of technology,Other,,15,3,125000,0,6000,8000,,3/21/16 13:34
401,ibm canada,"toronto, canada",,CA,60,-95,peoplesoft administrator,Management,,15,10,112000,0,0,0,,3/21/16 13:34
402,microsoft,seattle,,,,,software engineer,Software,,1,1,105000,10000,,,,3/21/16 13:34
403,freelance/consulting,"vancouver, canada",,CA,60,-95,software engineer,Software,,9,7,270000,,,,,3/21/16 13:34
405,cisco,canada,,CA,60,-95,software engineer,Software,,15,3,110000,0,14000,20000,,3/21/16 13:35
406,boutique development consulting,"denver,  co",CO,US,39.82,-105.1,consultant,Other,,4,1,88000,,4500,,,3/21/16 13:35
407,self-employed,"kingston, canada",,CA,60,-95,consultant,Other,,10,,180000,,,,,3/21/16 13:35
410,test,boston,,,,,test,Other,,2,2,80000,0,0,0,,3/21/16 13:35
411,missouri  of science and technology,"rolla, mo, usa",MO,US,37.94,-91.76,secondary cluster administrator,Management,,3,1,43000,0,0,0,,3/21/16 13:35
415,non-profit,boston,,,,,techops manager,Management,,5,3,28800,0,500,0,,3/21/16 13:35
416,canonical,remote,,,,,software engineer,Software,,10,1,120000,0,0,0,,3/21/16 13:35
417,solidfire,"boulder, co",CO,US,40.02,-105.25,senior software engineer,Software,Senior,4,2,113000,0,9000,15000,Recently acquired by NetApp,3/21/16 13:35
420,zillow group,san francisco,,,,,senior software engineer,Software,Senior,5,2,145000,10000,0,10000,,3/21/16 13:36
423,stealth startup,san francisco,,,,,programmer,Other,,15,1,175000,0,0,0,,3/21/16 13:36
428,microsoft,redmond,,,,,sde ii,Software,2,11,4,102000,6000,13000,22000,,3/21/16 13:36
429,google,mountain view,,,,,software engineer,Software,,4,1,130000,20000,20000,"40,000","negotiated from 0 signing bonus to 20k, and from 160 GSUs to 200",3/21/16 13:36
432,microsoft,seattle,,,,,product manager,Management,,0,1,105000,20000,0,20000,,3/21/16 13:36
433,facebook,menlo park,,,,,data scientist,Data,,4,4,206000,50000,50000,100000,,3/21/16 13:36
434,ibm,chicago,,,,,managing consultant,Other,,10,10,123000,2000,1000,0,,3/21/16 13:36
435,amazon,"seattle, wa",WA,US,47.61,-122.33,sr. product manager,Management,Senior,7,2.7,128000,50000,,70000,,3/21/16 13:36
440,sfdc,san francisco,,,,,principle member of technical staff,Other,,13,3,156000,60000,40000,25000,,3/21/16 13:37
441,microsoft,"seattle, wa",WA,US,47.61,-122.33,software development engineer,Software,,10,10,190000,0,65000,68000,,3/21/16 13:37
443,simplotel,"bangalore, india",,IN,20,77,senior software engineer,Software,Senior,3.5,1,18000,0,,2250,,3/21/16 13:37
445,interactive development agency,salt lake city,,,,,software developer,Software,,2,2,60000,0,0,0,,3/21/16 13:37
446,popsugar,"san francisco, ca",CA,US,37.77,-122.41,senior software engineer,Software,Senior,12,1,135000,0,0,0,,3/21/16 13:37
447,facebook,menlo park,,,,,software engineer,Software,,3,1,152000,22000,15000,80000,,3/21/16 13:37
449,amazon,cape town,,,,,software development engineer ii,Software,2,6,6,675000,,,"ZAR 675,000",Total value of RSUs dependent on USD / ZAR exchange rate and value of NASDAQ:AMZN. Grows roughly 20% YoY,3/21/16 13:37
451,med size us based it co.,"bristol, uk",,,,,software engineer,Software,,6,2,45000,,5,n/a,,3/21/16 13:38
453,google,london,,,,,web solutions engineer,Web,,8,4,88000,0,15000,35000,WSE is not a SWE,3/21/16 13:38
454,intergen,wellington,,,,,senior developer,Software,Senior,6,2,90000,,,,,3/21/16 13:38
457,epam systems,mountain view,,,,,lead software engineer,Software,,5,2,130000,0,20000,,,3/21/16 13:38
459,self,houston,,,,,consultant,Other,,15,1,275000,0,0,0,,3/21/16 13:38
464,google,mountain view,,,,,analyst,Data,,7,4,101000,7500,15000,50000,,3/21/16 13:38
465,tapjoy,boston,,,,,senior engineer,Engineering,Senior,6,3,110406.48,0,11040,0,,3/21/16 13:38
466,private,"stuart, fl",FL,US,27.19,-80.24,web developer,Web,,10,2,75000,0,0,0,,3/21/16 13:38
469,cisco,boston,,,,,architect,Other,,15,6,162000,,48000,10000,,3/21/16 13:39
470,facebook,menlo park,,,,,software engineering intern,Software,Intern,1,0,96000,0,0,0,,3/21/16 13:39
473,bk engineering,nc,,,,,software engineer,Software,,4,4,90000,5000,8000,0,,3/21/16 13:39
475,i.b.m.,north carolina,NC,US,38,-97,senior software engineer,Software,Senior,18,12,29000,0,0,0,Thank you for this service!,3/21/16 13:39
477,anon,los angeles,,,,,software developer,Software,,2,1,60000,0,0,0,,3/21/16 13:39
478,series a ($8mm) funded startup,bengaluru,,,,,tech lead,Software,,3.5,0.25,33000,0,7500,0,Bangalore guys n gals please contribute. :-),3/21/16 13:39
479,liveperson,"atlanta, georgia",,GE,42,43.5,devops engineer,Engineering,,1,1,46999,0,0,0,,3/21/16 13:39
480,facebook,"seattle, wa usa",WA,US,47.61,-122.33,software engineer,Software,,7,3,167000,25000,25000,"Signing grant: 9,600 RSUs (250k) vesting over 4 years (25% at year 1, 1/36 every quarter after), currently worth $1m due to stock price, $50k-100k in refreshers on same vesting schedule each year thereafter","Strict 40 hr / wk. 8 months parental leave taken. Always ""meets"" or ""exceeds"" performance rating.",3/21/16 13:39
481,tableau software,chicago,,,,,solution architect,Other,,16,2,103000,,15000,28000,,3/21/16 13:40
484,microsoft,redmon,,,,,software engineer,Software,,,0,106000,15000,20000,30000,,3/21/16 13:40
487,typical norwegian consulting firm,"oslo, norway",,NO,62,10,android developer,Software,,2,0.5,450000,0,0,0,,3/21/16 13:40
488,netflix,los gatos,,,,,senior software engineer,Software,Senior,10,1,350000,0,0,some,"Proof: see the ""Wage Offer From"" column on http://visadoor.com/h1bvisa-by-companies-2015-netflix-inc , which is the actual offered salary. And these are just the H-1Bs.",3/21/16 13:40
489,ignition one,new york city,NY,US,38,-97,software engineer,Software,,8,1,155000,0,36000,,Don't work here.,3/21/16 13:40
490,< 5 person startup,san francisco,,,,,software engineer,Software,,6,1,125000,0,0,25000,,3/21/16 13:40
492,lockheed martin,"owego, ny",NY,US,42.1,-76.26,associate electrical engineer,Engineering,,1,1,60528,0,0,3%,,3/21/16 13:40
494,anaheim ducks,"anaheim, ca",CA,US,33.83,-117.88,"professional ice hockey player, center",Other,,16,10,9250000,5000000,,,Ryan Getzlaf,3/21/16 13:40
495,optum,"boston, ma",MA,US,42.35,-71.06,junior systems engineer,Engineering,Junior,1,3,80000,0,5,0,,3/21/16 13:40
496,a company in sf,vancouver,,,,,software engineer,Software,,20,2,125000,0,1250,0,,3/21/16 13:40
