CAND_ID|CAND_NAME|CAND_ICI|PTY_CD|PTY_AFFILIATION|TTL_RECEIPTS|TRANS_FROM_AUTH|TTL_DISB|TRANS_TO_AUTH|COH_BOP|COH_COP|CAND_CONTRIB|CAND_LOANS|OTHER_LOANS|CAND_LOAN_REPAY|OTHER_LOAN_REPAY|DEBTS_OWED_BY|TTL_INDIV_CONTRIB|CAND_OFFICE_ST|CAND_OFFICE_DISTRICT|SPEC_ELECTION|PRIM_ELECTION|RUN_ELECTION|GEN_ELECTION|GEN_ELECTION_PERCENT|OTHER_POL_CMTE_CONTRIB|POL_PTY_CONTRIB|CVG_END_DT|INDIV_REFUNDS|CMTE_REFUNDS
H2AZ09035|ROGERS, WENDY|O|2|REP|498297.01|0|547273.31|0|53966.09|4989.79|0|0|0|0|0|0|482707.13|AZ|01||||||2500|0|12/31/2016|55450|0
H4AZ01145|KIEHNE, GARY|O|2|REP|1125977.68|0|1131166.01|0|5188.33|0|71363.4|752072.14|0|270000|0|250000|296654.17|AZ|01||||||5700|0|12/31/2016|83450|0
H4AZ01152|KWASMAN, ADAM CHARLES|C|2|REP|58316.32|0|58582.12|0|265.8|0|58123.34|0|0|56200|0|0|0|AZ|01||||||0|0|04/26/2016|0|0
H6AZ01173|BENNETT, KEN|O|2|REP|463873.44|0|463077|0|0|796.44|10876|70000|0|0|0|70000|376997.1|AZ|01||||||6000|0|12/31/2016|28980.62|0
H6AZ01207|REDD, SHAWN MR.|O|2|REP|38049|0|36953|0|638|1734|0|35324|0|0|0|35324|2725|AZ|01||||||0|0|08/10/2016|0|0
H6AZ01215|GOWAN , DAVID MATTHEW SR|O|2|REP|407463.03|0|394294.84|1000|0|13168.19|0|0|0|0|0|5000|332963.03|AZ|01||||||74500|0|12/31/2016|0|0
H6AZ01249|BEGAY, CARLYLE WILMER|O|2|REP|92351.09|0|92351.09|0|0|0|0|0|0|0|0|0|79351.09|AZ|01||||||13000|0|09/23/2016|535.97|0
H8AZ01146|KORN, PRESTON|O|2|REP|0|0|0|0|840.76|840.76|0|0|0|0|0|4419.01|0|AZ|01||||||0|0|09/30/2015|0|0
H6AZ01231|MALNES, BRIAN EDWARD|O|3|IND|30000|0|30000|0|0|0|30000|0|0|0|0|0|0|AZ|01||||||0|0|11/10/2016|0|0
H2AZ08094|BARBER, RONALD|C|1|DEM|3736.57|132.62|508688.74|0|504952.17|0|0|0|0|0|0|0|0|AZ|02||||||0|0|07/15/2016|-904.54|0
H6AZ02171|STEELE, VICTORIA L|C|1|DEM|246846.83|0|226509.24|0|0|21311.82|1736.6|2000|1855.68|2000|1855.68|0|230119.44|AZ|02||||||7500|0|12/31/2016|1100|0
H6AZ02189|HEINZ, MATTHEW GERALD DR.|C|1|DEM|1585093.47|0|1585089.25|0|0|4.22|30241.56|0|0|0|0|0|1256630.11|AZ|02||||||298221.8|0|12/31/2016|8269.62|701.12
H2AZ08102|MCSALLY, MARTHA E. MS.|I|2|REP|7878156.18|353431.15|8004418.35|0|468505.92|342243.75|0|0|0|0|0|327833.26|5975189.77|AZ|02||||||1436880.62|5000|12/31/2016|116121.4|6200
H4AZ02135|KAIS, SHELLEY M|C|2|REP|37.53|0|75.7|0|38.17|0|0|0|0|0|0|0|37.53|AZ|02||||||0|0|04/14/2015|0|0
H4AZ02143|WOOTEN, CHARLES A|C|2|REP|222.85|0|222.85|0|0|0|222.85|0|0|0|0|0|0|AZ|02||||||0|0|06/30/2016|0|0
H6AZ03112|STUMP, BOB|C|2|REP|0|0|0|0|13484.68|13484.68|0|0|0|0|0|0|0|AZ|02||||||0|0|12/31/2016|0|0
H2AZ07070|GRIJALVA, RAUL M|I|1|DEM|664591.65|0|642529.38|0|36088.02|58150.29|0|0|0|0|0|4015.59|338021.58|AZ|03||||||322203.49|0|12/31/2016|1793.5|1000
H6AZ03187|VILLARREAL, JAMES|C|1|DEM|10633.02|3166.02|10633.02|0|0|0|0|0|0|0|0|0|4767|AZ|03||||||2700|0|05/10/2016|750|0
H2AZ04143|WEISSER, MIKEL|C|1|DEM|36043.62|0|35258.96|0|2719.03|3503.69|0|500|0|0|0|19513.87|35293.62|AZ|04||||||250|0|12/31/2016|0|0
H0AZ01259|GOSAR, PAUL DR.|I|2|REP|707653.4|0|712872.46|2000|112812.09|107593.03|0|0|0|0|0|0|415940.54|AZ|04||||||291410.45|0|12/31/2016|2600|2500
H0AZ04493|CONTRERAS, JANET L|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|25510|0|AZ|04||||||0|0|09/30/2015|0|0
H2AZ04135|GOULD, RON|C|2|REP|0|0|0|0|4473.28|4473.28|0|0|0|0|0|141741.2|0|AZ|04||||||0|0|12/31/2016|0|0
H6AZ04177|STRAUSS, RAYMOND JOHN|C|2|REP|111269.03|0|111269.03|0|0|0|3305.06|0|0|0|0|0|101923.14|AZ|04||||||5750|0|09/21/2016|1000|0
H4AZ05088|WOODS, JAMES ISSAC|C|1|DEM|0|0|245|0|245|0|0|0|0|0|0|0|0|AZ|05||||||0|0|03/31/2015|0|0
H6AZ05133|FUENTES, TALIA|O|1|DEM|18657.82|0|18649.88|0|0|7.94|600|0|0|0|0|0|15057.82|AZ|05||||||500|2500|12/31/2016|0|0
H0AZ05078|WARD, JIM|C|2|REP|6580|0|6851.44|0|381.39|109.95|0|6580|0|0|0|374181.79|0|AZ|05||||||0|0|12/31/2016|0|0
H2AZ06148|ADAMS, KIRK DAVID|O|2|REP|.82|0|0|0|559.31|560.13|0|0|0|0|0|110206.46|.04|AZ|05||||||0|0|12/31/2016|0|0
H4AZ01038|SALMON, MATT|I|2|REP|408619.07|54188.11|461428.04|0|447437.8|394628.83|0|0|0|0|0|0|188448.96|AZ|05||||||165982|0|12/31/2016|34350.66|18449.91
H6AZ05083|BIGGS, ANDY|O|2|REP|995666.43|0|947069.35|0|0|48597.08|0|150000|0|0|0|317301.02|452132.13|AZ|05||||||227400.5|0|12/31/2016|0|1000
H6AZ05091|OLSON, JUSTIN|O|2|REP|153355.81|0|152652.58|0|0|703.23|25|100000|0|0|0|100000|48050.12|AZ|05||||||4500|0|12/31/2016|200|0
H6AZ05109|MARTYN, BRYAN|O|2|REP|4965|0|4965|2000|0|0|0|0|0|0|0|0|4965|AZ|05||||||0|0|07/13/2016|0|0
H6AZ05117|STAPLEY, DONALD T|O|2|REP|512692.28|0|512692.28|0|0|0|0|250000|0|2643.58|0|247356.42|259692|AZ|05||||||3000|0|10/15/2016|8100|0
H6AZ05125|JONES, CHRISTINE|O|2|REP|3774123.42|0|3771348.77|0|0|2774.65|1794853.74|1905853.74|0|1655853.74|0|250000|50915.94|AZ|05||||||22500|0|12/31/2016|5400|0
H2AZ05132|WILLIAMSON, WALTER JOHN|C|1|DEM|6470.77|0|6623.91|0|352.56|163.42|0|4642|0|0|0|12231.41|1828.77|AZ|06||||||0|0|12/31/2016|0|0
H0AZ01184|FLAKE, JEFF MR.|C|2|REP|1012430|54994|541821|35000|109605|580214|0|0|0|0|0|0|580490|AZ|06||||||364950|0|12/31/2016|8775|0
H4AZ06045|SCHWEIKERT, DAVID|I|2|REP|797747.29|270220.29|806820.62|0|37475.5|28402.17|0|0|0|210000|0|132918.62|184977|AZ|06||||||342550|0|12/31/2016|0|0
H2AZ02055|PASTOR, ED L|C|1|DEM|0|0|1038830.73|0|1201237.37|162406.64|0|0|0|0|0|0|0|AZ|07||||||0|0|12/31/2016|0|0
H4AZ07043|GALLEGO, RUBEN|I|1|DEM|1093477.4|0|734379.24|0|24162.63|383260.79|0|0|0|0|0|2500|568901.24|AZ|07||||||519361.49|22.94|12/31/2016|5185.47|0
H4AZ07050|GALLARDO, STEVE M|O|1|DEM|11875.4|0|11845.75|0|-11.65|7.57|11875.4|0|0|0|0|13365|0|AZ|07||||||0|0|12/31/2016|0|0
H4AZ07068|WILCOX, MARY ROSE|O|1|DEM|1500|0|3586.14|0|2086.14|0|1500|0|0|0|0|0|0|AZ|07||||||0|0|12/31/2015|0|0
H0AZ07017|MCCLUNG, RUTH CRAWFORD|C|2|REP|11.93|0|21398.1|4000|20833.66|-552.51|0|0|0|0|0|0|0|AZ|07||||||0|0|12/31/2016|0|0
H6AZ07030|NUNEZ, EVANGELINE MARTINEZ|C|2|REP|33620.36|0|32120.36|0|0|0|2700|0|0|0|0|0|23911.26|AZ|07||||||5000|2000|12/31/2016|0|0
H0AZ04501|PENALOSA, JOSE LUIS JR|O|3|IND|8000|0|8000|0|0|0|8000|0|0|0|0|0|0|AZ|07||||||0|0|11/06/2015|0|0
H6AZ08178|ARMSTRONG-STONER, DEREK JAMES|C|1|DEM|16350.98|0|16350.98|0|0|0|2100|9750|0|244.34|0|0|2000.98|AZ|08||||||0|2500|05/03/2016|0|0
H4AZ04024|FRANKS, TRENT|I|2|REP|362299.08|0|360898.55|0|6049.44|7449.97|0|0|0|95000|0|81100|147498|AZ|08||||||214100|0|12/31/2016|735|0
H2AZ09019|SINEMA, KYRSTEN|I|1|DEM|4402181.31|101537.77|2441662.77|0|303114.76|2263633.3|0|0|0|0|0|0|2232184.28|AZ|09||||||1862584.06|5097.16|12/31/2016|31024.88|4500.01
H2AZ09027|SCHAPIRA, DAVID|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|1464.07|0|AZ|09||||||0|0|12/31/2016|0|0
H0AZ03321|PARKER, VERNON|C|2|REP|0|0|2886.59|0|8742.31|5855.72|0|0|0|0|0|15813.62|0|AZ|09||||||0|0|12/31/2016|0|0
H2AZ06155|GRANTHAM, TRAVIS W.|O|2|REP|0|0|375|0|-5536.01|-5911.01|0|0|0|0|0|304411.5|0|AZ|09||||||0|0|12/31/2016|0|0
H4AZ09023|WALTER, ANDREW|C|2|REP|.45|0|1500|0|3957.1|2000|0|0|0|0|0|0|0|AZ|09||||||0|0|12/31/2016|0|0
H6AZ09010|GILES, DAVID VICTOR|C|2|REP|273769.71|0|273722.04|100|0|47.67|0|259078.5|0|21171.18|0|242521.99|14691.21|AZ|09||||||0|0|12/31/2016|0|0
H6AZ09036|AGRA, JOHN|C|2|REP|108766|0|116971.51|0|10000|1794.49|0|0|0|0|0|10000|108196|AZ|09||||||0|0|12/31/2016|55902|0
H2AZ09092|STAPLEY, DON||3|UNK|512692.28|0|512692.28|0|0|0|0|250000|0|2643.58|0|247356.42|259692|AZ|||||||3000|0|10/15/2016|8100|0
H4CA01066|HALL, HEIDI|C|1|DEM|1065.8|0|3911.81|0|2846.01|0|0|0|0|0|0|0|50|CA|01||||||0|0|06/30/2015|0|0
H4CA01074|LEVINE, DAN|C|1|DEM|783.87|0|793.87|0|10|0|0|0|0|0|0|0|783.87|CA|01||||||0|0|08/25/2015|0|0
H6CA01194|REED, JAMES E|C|1|DEM|138508.99|0|134916.57|0|0|3592.42|0|46100|0|4145|0|42386.31|75828.68|CA|01||||||8200|7330|12/31/2016|0|0
H2CA02142|LAMALFA, DOUG|I|2|REP|800277.02|0|808869.52|0|98168.1|89475.6|0|0|0|0|0|36616.52|399853.75|CA|01||||||397575.99|0|12/31/2016|5600|0
H6CA01178|WRIGHT, DOUGLAS A.|C|2|REP|27709.03|3166.03|27709.03|0|0|0|0|0|0|0|0|0|21843|CA|01||||||2700|0|05/10/2016|14550|0
H6CA01186|MONTES, JOSEPH|C|2|REP|183682|0|183682|0|0|0|0|59000|0|5698.33|0|0|124678|CA|01||||||0|0|12/31/2016|0|0
H2CA02100|LAWSON, STACEY|O|1|DEM|110632.19|0|110632.19|0|0|0|110632.19|0|0|100000|0|0|0|CA|02||||||0|0|12/31/2015|0|0
H2CA06259|HUFFMAN, JARED|I|1|DEM|973816.67|0|757560.62|0|384552.29|600808.34|0|0|0|0|0|192.45|559633.89|CA|02||||||409486.48|50|12/31/2016|10530|0
H6CA02234|SCHRODE, ERIN AZARIA|C|1|DEM|58283.5|0|59079.55|0|0|-26515.78|0|0|0|0|0|0|58076.5|CA|02||||||0|207|12/09/2016|0|0
H4CA02098|MENSING, DALE KENNETH|C|2|REP|4587|0|4228|0|38|393|18|0|0|869|0|0|3898|CA|02||||||0|217|12/31/2016|0|0
H0CA10149|GARAMENDI, JOHN|I|1|DEM|1145846.45|0|879539.66|0|177459.14|443765.93|0|0|0|0|0|0|508626.22|CA|03||||||634307.37|329.99|12/31/2016|3300|375
H4CA03096|LOGUE, DANIEL|C|2|REP|11761.38|0|23855.6|0|12094.22|0|1000|0|0|0|0|8645.6|500|CA|03||||||0|0|12/31/2016|0|0
H6CA03117|CLEEK, N EUGENE MD|C|2|REP|382004.01|2500|380024.03|0|0|1979.98|911.16|210000|0|0|0|212199.15|163542.85|CA|03||||||0|5000|12/31/2016|0|0
H6CA03125|DETERT, RYAN|C|2|REP|10325.81|0|10325.81|0|0|0|0|8843.22|0|879.89|0|0|1482.59|CA|03||||||0|0|06/30/2016|0|0
H6CA04156|DERLET, ROBERT WAYNE|C|1|DEM|105527.33|0|90885.98|0|0|14641.35|1000|0|0|0|0|0|81248.55|CA|04||||||19850.16|2300|12/31/2016|322|0
H4CA04102|MOORE, ARTHUR S|C|2|REP|0|0|35308.16|0|35308.16|0|0|0|0|35308.16|0|0|0|CA|04||||||0|0|09/30/2015|0|0
H8CA04152|MCCLINTOCK, THOMAS|I|2|REP|1058570.56|0|1000517.91|0|217098.69|275176.34|0|0|0|0|0|6552.44|922464.55|CA|04||||||135094.45|0|12/31/2016|18200|0
H6CA05344|PALSSON, NILS|C|1|DEM|10240.59|0|10240.59|0|0|0|0|0|0|0|0|0|10240.59|CA|05||||||0|0|09/30/2016|0|0
H8CA01109|THOMPSON, MIKE MR.|I|1|DEM|2057128.82|0|2015932.06|0|1476181.68|1517378.44|0|0|0|0|0|8827.23|762704.33|CA|05||||||1270995.03|61.97|12/31/2016|3380|671
H6CA05336|SANTAMARIA, CARLOS J|C|2|REP|2700|0|2700|0|0|0|0|0|0|0|0|0|2700|CA|05||||||0|0|11/28/2016|0|0
H6CA05195|MATSUI, DORIS|I|1|DEM|1103289.27|0|1003549.57|0|275234.01|374973.71|0|0|0|0|0|1400|282549.16|CA|06||||||820479.5|61.95|12/31/2016|0|0
H6CA06227|EVANS, ROBERT S|C|2|REP|2905|0|2805|0|0|100|0|100|0|0|0|0|2805|CA|06||||||0|0|11/28/2016|0|0
H0CA03078|BERA, AMERISH|I|1|DEM|4172935.83|2039.21|4192531.21|0|152506.33|132910.95|4591.42|0|0|27000|0|297800|2680204.38|CA|07||||||1406340.82|19363.16|12/31/2016|39807.39|26500
H0CA11352|EMKEN, ELIZABETH|C|2|REP|5901.45|0|5901.45|0|365.71|365.71|0|0|0|0|0|32000|0|CA|07||||||0|0|12/31/2016|0|0
H4CA07055|BIRMAN, IGOR A|C|2|REP|27857.99|0|35313.54|0|7485.55|30|0|23007.99|0|0|0|85100.72|4850|CA|07||||||0|0|12/31/2016|10400|0
H6CA07126|JONES, SCOTT|C|2|REP|1362661.26|73652.64|1355340.14|0|0|7296.12|0|0|0|0|0|6801.64|945823.22|CA|07||||||325084.93|17789.31|12/31/2016|7331|500
H8CA03105|OSE, DOUG|C|2|REP|265476.95|0|321609.31|0|56132.36|0|251254.22|0|0|250000|0|0|0|CA|07||||||0|0|03/31/2016|0|0
H8CA05134|TUMA, DOUGLAS ARTHUR|C|3|LIB|0|0|54|0|262.61|199.61|0|0|0|0|0|0|0|CA|07||||||0|0|06/30/2015|0|0
H2CA00138|PINKERTON, JOHN RAYMOND III|C|1|DEM|6954.18|0|6486.02|0|0|294.7|2460|3836.2|0|0|0|0|657.98|CA|08||||||0|0|06/30/2016|0|0
H6CA40234|CONAWAY, ROBERT DEAN|C|1|DEM|804|0|798|0|9|7|787|0|0|0|0|703|0|CA|08||||||0|0|12/31/2016|0|0
H8CA41139|DR RITA RAMIREZ|C|1|DEM|35743.12|0|31604.31|0|0|4138.81|0|30102.04|0|0|0|30102.04|5361.08|CA|08||||||0|280|10/19/2016|0|0
H2CA08156|MITZELFELT, BRAD|C|2|REP|176|0|304|0|338.19|210.19|0|0|0|0|0|21000|0|CA|08||||||0|0|12/31/2016|0|0
H2CA08164|COOK, PAUL|I|2|REP|944657.62|0|909665.99|0|536222.64|571214.27|0|0|0|0|0|0|338410|CA|08||||||603841.19|0|12/31/2016|7450|0
H4CA08103|HANNOSH, PAUL|C|2|REP|0|0|1545.81|0|1545.81|0|0|0|0|0|0|0|0|CA|08||||||0|0|01/31/2016|0|0
H4CA08111|CONOVER, RODNEY LEE|C|2|REP|73.05|0|3387.28|0|3314.23|0|0|0|0|250|0|5750|0|CA|08||||||0|0|12/31/2016|0|0
H6CA08207|DONNELLY, TIM|C|2|REP|89883.21|0|89883.21|0|0|0|9723.55|0|0|0|0|0|78470.15|CA|08||||||1500|0|08/17/2016|4000|0
H8CA08062|WALSH, DANA|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|7500.22|0|CA|08||||||0|0|03/31/2015|0|0
