CMTE_ID|CMTE_NM|CMTE_TP|CMTE_DSGN|CMTE_FILING_FREQ|TTL_RECEIPTS|TRANS_FROM_AFF|INDIV_CONTRIB|OTHER_POL_CMTE_CONTRIB|CAND_CONTRIB|CAND_LOANS|TTL_LOANS_RECEIVED|TTP_DISB|TRANSF_TO_AFF|INDV_REFUNDS|OTHER_POL_CMTE_REFUNDS|CAND_LOAN_REPAY|LOAN_REPAY|COH_BOP|COH_COP|DEBTS_OWED_BY|NONFED_TRANS_RECEIVED|CONTRIB_TO_OTHER_CMTE|IND_EXP|PTY_COORD_EXP|NONFED_SHARE_EXP|CVG_END_DT
C00001180|MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY|Q|U|Q|52775|0|52775|0|0|0|0|114705.89|0|0|0|0|0|64712.65|2781.76|0|0|8150|0|0|0|12/31/2016
C00001198|AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')|Q|B|M|1457039.63|0|1357065.01|52500|0|0|0|1259283.99|0|10500|0|0|0|158019.97|355775.61|0|0|1232000|0|0|0|12/31/2016
C00001214|TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|Q|505299.26|0|505222.69|0|0|0|0|571676.08|0|2256.69|0|0|0|104106.91|37730.09|0|0|10403.35|0|0|0|12/31/2016
C00001305|REPUBLICAN PARTY OF VIRGINIA INC|Y|U|M|5928838.65|4309679.01|1028339.76|155270|0|0|0|5861963.9|1649660.98|9857.33|0|0|100000|11338.54|78213.29|0|423591.21|0|0|0|575562.12|12/31/2016
C00001313|REPUBLICAN PARTY OF MINNESOTA - FEDERAL|Y|U|M|5231286.98|530139.04|2346425|944585.86|0|0|0|5221901.57|936835.6|0|0|0|509738.46|3332.78|12718.19|787462.88|621846.25|0|0|0|640905.77|12/31/2016
C00001347|HAWAII MEDICAL POLITICAL ACTION COMMITTEE|Q|U|Q|32910|0|32910|0|0|0|0|35973.65|4500|0|0|0|0|92729.38|2450.28|0|0|8200|0|0|0|12/31/2016
C00001388|DAIRY FARMERS OF AMERICA, INC. - DEPAC (DAIRY EDUCATIONAL POLITICAL ACTION COMMITTEE)|Q|B|M|613267.33|0|612261.19|0|0|0|0|247848.24|0|0|0|0|0|761668.74|1127087.83|0|0|247000|0|0|0|12/31/2016
C00001461|ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC)|Q|U|Q|10000.69|0|9000|0|0|0|0|11761.6|0|0|0|0|0|2935.6|1174.69|0|0|0|0|0|0|12/31/2016
C00001636|UNITED TRANSPORTATION UNION POLITICAL ACTION COMMITTEE (UTU PAC)|Q|B|M|2800498|0|2765803.27|0|0|0|0|2499600.06|27497.16|192.35|0|0|0|1094652.75|1395550.69|0|0|1240725|0|0|0|12/31/2016
C00001727|BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE|W|U|M|91759.94|0|39750|52000|0|0|0|99098.06|0|0|0|0|0|15904.71|8566.59|0|0|34000|0|0|0|12/31/2016
C00001743|LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND|Q|U|Q|95320.04|0|95320.04|0|0|0|0|140641.8|0|0|0|0|0|48853.22|3531.46|0|0|3000|0|0|0|12/31/2016
C00001776|NEW MEXICO MEDICAL SOCIETY POLITICAL ACTION COMMITTEE (AKA NEMPAC)|Q|U|Q|16750|0|16750|0|0|0|0|57000|1000|0|0|0|0|82325.78|42075.78|0|0|0|0|0|0|12/31/2016
C00001917|WY DEMOCRATIC STATE CENTRAL COMMITTEE|Y|U|M|3604550.14|3257437.62|219806.39|20979.5|0|0|0|3610334.15|3094253.25|1769.5|7400|0|0|11149.14|5365.13|0|92768.62|0|0|0|232304.98|12/31/2016
C00002089|COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE|Q|B|M|7930523.68|0|7870581.26|0|0|0|0|6908899.72|0|53|0|0|0|3159399.63|4181023.59|0|0|1835803.82|150|0|0|12/31/2016
C00002238|NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC|Q|U|M|214991.82|0|153991.82|61000|0|0|0|181586.69|0|0|0|0|0|25757.5|59162.63|0|0|157000|0|0|0|12/31/2016
C00002261|FEDERATION OF AMERICAN HOSPITALS PAC|Q|B|M|772938.21|0|667194.72|90000|0|0|0|749277.03|0|8728.13|0|0|0|125175.54|148838|0|0|725500|0|0|0|12/31/2016
C00002469|MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS|Q|B|M|4159494.24|0|4139490.09|0|0|0|0|4194331.66|0|0|0|0|0|471785.47|436948.05|0|0|2979850|0|0|0|12/31/2016
C00002766|UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB|Q|B|M|12747221.51|0|12674384.04|0|0|0|0|12542235.44|0|7432.6|0|0|0|3436738.89|3641724.96|0|0|4979474.9|180480.13|0|0|12/31/2016
C00002790|OLIN CORPORATION GOOD GOVERNMENT FUND|Q|U|Q|18224.46|0|18224.46|0|0|0|0|-6188|0|0|0|0|0|28009.84|52422.3|0|0|-7500|0|0|0|12/31/2016
C00002832|COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW|Q|B|Q|404606.51|0|402798.82|0|0|0|0|5615.7|0|0|0|0|0|1222948.22|1621939.03|0|0|0|0|0|0|12/31/2016
C00002840|UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)|Q|B|Q|14234811.95|0|14196530.67|0|0|0|0|8439607.49|2338000|916.71|0|0|0|9466547.56|15261752.02|0|0|2031850|0|0|0|12/31/2016
C00002881|TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.|Q|B|M|894205.69|0|842455.69|43000|0|0|0|802892.41|0|13575|0|0|0|400543.93|491857.21|0|0|760500|0|0|0|12/31/2016
C00002907|ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|Q|U|Q|10540|0|10540|0|0|0|0|42768.26|0|0|0|0|0|90512|58283|0|0|23550|0|0|0|12/31/2016
C00002972|THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)|Q|B|M|4120929.95|0|4101199.01|0|0|0|0|3894352.02|1303808.35|0|0|0|0|748893.87|975471.8|0|0|2386050|0|0|0|12/31/2016
C00003061|NORTH DAKOTA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|U|Q|15200|0|15200|0|0|0|0|12855.6|6900|0|0|0|0|1079|3424|0|0|0|0|0|77.7|12/31/2016
C00003111|MAINE REPUBLICAN PARTY|Y|U|M|1823976.42|601994.16|742620.78|148181.18|0|0|0|1831353.82|56391.5|1480.18|750|0|0|79267.29|71889.89|0|328100.55|0|0|0|700591.65|12/31/2016
C00003152|NORTH CAROLINA MEDICAL SOCIETY FEDERAL POLITICAL EDUCATION AND ACTION COMMITTEE|Q|U|Q|31175.73|0|31165|0|0|0|0|42000|0|0|0|0|0|20503.11|9678.84|0|0|0|0|0|0|12/31/2016
C00003160|NORTH AMERICA'S BUILDING TRADES UNIONS POLITICAL EDUCATIONAL FUND|Q|U|M|438599.69|0|432699.69|5900|0|0|0|179201.26|0|0|0|0|0|16544.08|275942.51|0|0|153700|0|0|0|12/31/2016
C00003194|CALIFORNIA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL|Q|U|Q|20131.07|0|19131.07|0|0|0|0|18015|0|0|0|0|0|886.64|3002.71|0|0|15175|0|0|0|12/31/2016
C00003210|UTAH MEDICAL POLITICAL ACTION COMMITTEE|Q|U|Q|0|0|0|0|0|0|0|4000|0|0|0|0|0|40538.43|36538.43|0|0|4000|0|0|0|12/31/2016
C00003251|NEA FUND FOR CHILDREN AND PUBLIC EDUCATION|Q|B|M|4315571.25|0|4276838.75|0|0|0|0|3968742.26|0|1530|0|0|0|346685.66|693514.65|0|0|2947239.99|5000|0|0|12/31/2016
C00003327|OHIO STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (OSMAPAC)|Q|U|Q|175453.23|0|175637.58|0|0|0|0|206436.81|0|0|0|0|0|220032.66|189049.08|0|0|0|0|0|0|12/31/2016
C00003418|REPUBLICAN NATIONAL COMMITTEE|Y|U|M|343371200.11|95202826.29|171288215.68|1627386.88|0|0|0|323058132.31|67417595|492295.9|0|0|11891000|5014943.99|25328011.79|0|0|264838.56|321531.27|20319784.18|0|12/31/2016
C00003558|NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS|Q|U|Q|281269.9|0|256269.9|25000|0|0|0|213288.79|0|10|0|0|0|13623.34|81604.45|0|0|37500|0|0|0|12/31/2016
C00003590|UNITED STEELWORKERS POLITICAL ACTION FUND|Q|B|M|2255826.09|0|2255826.09|0|0|0|0|2224663.83|0|103975.47|0|0|0|1821334.31|1852496.57|0|0|1071181.12|17403.9|0|0|12/31/2016
C00003632|INTL UNION OF BRICKLAYERS & ALLIED CRAFTWORKERS PAC|Q|B|M|1531696.3|0|1526208.84|0|0|0|0|1864831.71|0|0|0|0|0|814220.57|481085.16|0|0|800500|47267.02|0|0|12/31/2016
C00003764|NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC)|Q|B|M|1249792.27|0|1188102.27|60940|0|0|0|1219572.3|0|12000|0|0|0|281380.67|311600.64|0|0|1186500|0|0|0|12/31/2016
C00003806|AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE|Q|B|Q|92564.2|0|87564.2|5000|0|0|0|231792.84|0|0|0|0|0|201245.97|62017.33|0|0|216542.84|0|0|0|12/31/2016
C00003855|NATIONAL CONFECTIONERS ASSOCIATION OF THE UNITED STATES, INC. POLITICAL ACTION COMMITTEE (CANDY PAC)|Q|B|M|358782.19|0|344282.19|14500|0|0|0|237487.7|0|4000|0|0|0|38759.86|160054.35|0|0|216666.19|0|0|0|12/31/2016
C00003863|DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOCIATION - RETIREES' GROUP FUND (MEBA-|Q|B|M|11066.95|0|11066.95|0|0|0|0|3060|0|0|0|0|0|37870.39|45877.34|0|0|0|0|0|0|12/31/2016
C00003897|6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA|Y|U|Q|6960|0|6960|0|0|0|0|59493|0|0|0|0|0|190|716|0|0|0|0|0|0|12/31/2016
C00003970|IOWA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|Q|U|Q|91844.91|0|91820|0|0|0|0|98591.7|0|0|0|0|0|25028.15|18281.36|0|0|0|0|0|0|12/31/2016
C00003988|NEBRASKA DEMOCRATIC PARTY|Y|U|M|2823992.13|2017221.14|497639.21|14931.69|0|0|0|2834371.61|0|3650|0|0|0|10102.09|-364.51|33440.47|208380.54|10000|0|0|467024.01|12/31/2016
C00004036|SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)|Q|B|M|50264684.02|975778.8|49241218.06|0|0|0|0|55310214.33|150000|25|0|0|0|14185041.74|9139511.43|800437.44|0|6869648.93|8550288.58|0|0|12/31/2016
C00004101|NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE|Q|B|Q|46300|0|46300|0|0|0|0|9079.34|0|0|0|0|0|14421.8|54142.46|0|0|7000|0|0|0|12/31/2016
C00004275|AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)|Q|B|M|3784934.91|3162412.83|495484.62|104360|0|0|0|3029055.28|6000|0|0|0|0|1613682.2|2369561.83|0|0|3006861.09|0|0|0|12/31/2016
C00004325|SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIWD/NMU|Q|U|M|1117757.31|0|1115127.43|0|0|0|0|1255387.7|0|478.5|0|0|0|187759.8|50129.41|0|0|683300|0|0|0|12/31/2016
C00004440|TEAMSTERS LOCAL 745 DRIVE|Q|U|Q|113530.7|102101.88|10069|0|0|0|0|57052.15|0|0|0|0|0|178500.79|234979.34|0|0|0|0|0|0|12/31/2016
C00004473|NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC|Q|B|M|576453.11|0|576453.11|0|0|0|0|518240.77|0|780|0|0|0|19777.16|77989.5|0|0|515450|0|0|0|12/31/2016
C00004606|KANSAS REPUBLICAN PARTY|Y|U|M|2131605.46|1348043.61|179245.49|445642|0|0|0|2120094.32|1372323.61|900|5000|0|0|2688.9|14225.04|0|156274.36|4470.37|0|0|195984.13|12/31/2016
C00004812|MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC)|Q|B|M|2046732.1|0|1884832.2|123000|0|0|0|2014330.81|0|9190.01|0|0|0|706187.07|738588.36|0|0|1973000|0|0|0|12/31/2016
C00004861|UNITE HERE TIP CAMPAIGN COMMITTEE|Q|U|M|1404454.72|0|1376509.54|0|0|0|0|1961188.91|0|1043.5|0|0|0|894464.96|337730.77|0|0|1673150|117381.34|0|0|12/31/2016
C00004879|AMERICAN BUS ASSOCIATION-BUSPAC POLITICAL ACTION COMMITTEE|Q|U|M|155164.14|0|155164.14|0|0|0|0|120000|0|0|0|0|0|152826.64|187990.78|0|0|120000|0|0|0|12/31/2016
C00004911|ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASSOCIATION OF THE STATE OF ALABAMA|Q|U|Q|62209.68|0|61316.64|0|0|0|0|100050|0|50|0|0|0|521543.47|483703.15|0|0|0|0|0|0|12/31/2016
C00004929|PENNSYLVANIA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE FEDERAL|Q|U|Q|29.53|0|25|0|0|0|0|0|0|0|0|0|0|738.02|767.55|0|0|0|0|0|0|12/31/2016
C00004952|ELECTRIC POWER ASSOCIATIONS OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION|Q|U|Q|95625.63|95625.63|0|0|0|0|0|26937.5|0|0|0|0|0|116116.59|184804.72|0|0|26000|0|0|0|12/31/2016
C00004994|PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE|Q|B|M|106579.27|0|103603.52|0|0|0|0|111631.41|0|450|0|0|0|106492.83|101440.69|0|0|106950|0|0|0|12/31/2016
C00005132|SOUTH DAKOTA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (SDSMAPAC)|Q|U|Q|62025|0|60725|0|0|0|0|52650.09|0|0|0|0|0|96070.1|105445.01|0|0|0|0|0|0|12/31/2016
C00005157|INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND|Q|B|M|866842.5|0|866842.5|0|0|0|0|928386.3|0|966.8|0|0|0|208645.51|147101.71|0|0|844950|0|0|0|12/31/2016
C00005173|STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA|Y|U|M|465337.96|182773.14|91091.34|38420|0|0|0|387632.76|6721.16|0|0|0|0|27771.93|105391.41|33924.18|78476.29|1500|0|0|92418.01|12/31/2016
C00005249|NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM|Q|B|M|2330247.27|0|2291497.27|15000|0|0|0|2361754.35|0|1893.5|0|0|0|835979.05|804471.97|0|0|2355900|0|0|0|12/31/2016
C00005462|10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE|Y|U|M|20740|2000|15960|2300|0|0|0|31401.37|0|35|0|0|0|13928.54|3267.17|0|0|0|0|0|0|12/31/2016
C00005488|ILLINOIS STATE MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|Q|U|T|.07|0|0|0|0|0|0|6359.97|5888.06|0|0|0|0|6359.9|0|0|0|0|0|0|0|06/27/2016
C00005561|DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA|Y|U|M|38328391.86|33284764.14|1362699.5|329495.97|0|0|0|38269344.6|815900|39574.22|9644.27|0|0|324392.66|383439.92|638432.76|2089920.94|10600|0|64208.24|2633166.78|12/31/2016
C00005660|AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS POLITICAL ACTION COMMITTEE|Q|B|M|582358.51|0|540640.28|0|0|0|0|500298.42|0|1500|0|0|0|571982.86|654042.95|140|0|484700|0|0|0|12/31/2016
C00005751|CALIFORNIA DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL FUND|Q|U|T|0|0|0|0|0|0|0|27195.35|0|0|0|0|0|27195.35|0|0|0|25000|0|0|0|06/30/2015
C00005785|WYOMING REPUBLICAN PARTY, INC.|Y|U|M|2008838.07|1628466.87|320931.2|54440|0|0|0|2015179.49|1594232.34|200|0|0|0|142530.5|136189.08|0|0|0|0|0|57296.71|12/31/2016
C00005801|6TH CONGRESSIONAL DISTRICT REPUBLICAN FEDERAL COMMITTEE|Y|U|Q|4100|4100|0|0|0|0|0|9958.98|9898.58|0|0|0|0|6307.84|448.86|0|0|0|0|0|0|12/31/2016
C00005926|ILLINOIS REPUBLICAN PARTY|Y|U|M|5685026.2|2555116.18|1618335.94|964200|0|0|0|5301050.18|1135515.71|2500|35619.56|0|0|46685.13|430661.15|0|524688.26|0|0|824231.87|522871.41|12/31/2016
C00006080|AMERICAN HEALTH CARE ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|1218833.84|0|1180160.84|25000|0|0|0|1371511.31|0|16619.87|0|0|0|213354.3|60676.83|0|0|1298000|0|0|0|12/31/2016
C00006486|INDIANA REPUBLICAN STATE COMMITTEE, INC.|Y|U|M|4349426.05|2052354.4|1417524.79|358749|0|0|0|4146953.23|0|9270|0|0|0|26282.21|228755.03|13009.62|504497.86|11365.9|14497.31|10139.99|1006764.96|12/31/2016
C00007070|TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC)|Q|B|M|213148.55|0|212696.96|0|0|0|0|203925|0|0|0|0|0|82696.1|91919.65|0|0|143000|0|0|0|12/31/2016
C00007450|AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|506533.96|0|256158.96|250000|0|0|0|363752.49|0|2000|5000|0|0|99233.38|242014.85|0|0|355500|0|0|0|12/31/2016
C00007542|SHEET METAL WORKERS' INTERNATIONAL ASSOCIATION POLITICAL ACTION LEAGUE|Q|B|M|3478697.28|0|3485967.31|0|0|0|0|3385086.33|0|0|0|0|0|768700.23|862311.18|0|0|2341710|0|0|0|12/31/2016
C00007658|DEMOCRATIC PARTY OF SOUTH CAROLINA|Y|U|M|5197279.35|3700887.43|641881.82|82386.38|0|0|0|5148242.54|3249043|3035.16|2500|0|0|16702.48|9400.25|41571.03|536297.93|0|0|30000|842024.27|12/31/2016
C00007849|SPEAK UP FOR RURAL ELECTRIFICATION (SURE)|Q|U|Q|68384.45|59313|5520|0|0|0|0|37584.66|1300|0|0|0|0|89959|120759|0|0|0|0|0|0|12/31/2016
C00007880|CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION|Q|B|M|5120959.77|1448922.89|3600313.04|0|0|0|0|4985718.16|0|3778.92|0|0|0|468130.01|603371.62|0|0|3080000|1813272.94|0|0|12/31/2016
C00007898|OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION (OPEIU) JB MOSS VOICE OF THE ELECTORATE (VOTE)|Q|U|M|750135.4|0|749099.06|0|0|0|0|602477.63|0|-218.67|0|0|0|680525.4|828183.17|0|0|511500|0|0|0|12/31/2016
C00007922|LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC|Q|B|M|7744255.72|3384356.65|4341956.59|0|0|0|0|7707431.08|0|2668.82|0|0|0|2017514|2054338.64|73743.45|0|6895500|163220.94|0|0|12/31/2016
C00007948|WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE|Q|B|M|500156.75|72846.16|422734.36|0|0|0|0|459091|0|0|0|0|0|187415.48|228481.23|0|0|425000|0|0|0|12/31/2016
C00008078|OHIO D.R.I.V.E. (DEMOCRATIC  REPUBLICAN INDEPENDENT VOTER EDUCATION)  - TEAMSTERS JC #41|Q|U|Q|74878.59|42608.2|32013|0|0|0|0|68040.59|0|0|0|0|0|11205.92|18043.92|0|0|0|0|0|0|12/31/2016
C00008086|MONTANA REPUBLICAN STATE CENTRAL COMMITTEE|Y|U|M|1211571.9|127250|709492.51|190639|0|0|0|1217305.58|33571.57|1520|10000|0|0|9849.6|4115.92|11858.34|182034.19|0|0|0|207229.38|12/31/2016
C00008110|DEMOCRATIC PARTY OF THE SECOND CONGRESSIONAL DISTRICT OF WISCONSIN *|Y|U|Q|3138.99|0|2153.22|0|0|0|0|3861.71|0|0|0|0|0|1556|832|0|0|2250|0|0|0|12/31/2016
C00008151|FIRST HORIZON NATIONAL CORPORATION FEDERAL PAC|Q|U|Q|16767.18|0|16767.18|0|0|0|0|6000|0|0|0|0|0|1791.66|12558.84|0|0|6000|0|0|0|12/31/2016
C00008169|ACTION COMMITTEE FOR RURAL ELECTRIFICATION/MISSOURI COOPERATIVES (FKA MISSOURI ACRE)|Q|U|Q|72675.4|69974.91|0|0|0|0|0|304499.94|289000|0|0|0|0|255574.11|23749.57|0|0|13000|0|0|0|12/31/2016
C00008227|ARIZONA REPUBLICAN PARTY|Y|U|M|5330784.4|1337027.88|1592151.45|663941.11|0|0|0|5366735.36|647924.22|10000|0|0|0|51065.07|15114.11|0|1716100.69|6800|0|0|1751876.44|12/31/2016
C00008268|TRANSPORT WORKERS UNION POLITICAL CONTRIBUTIONS COMMITTEE|Q|B|M|1964509.63|0|1964509.63|0|0|0|0|2417841.45|0|0|0|0|0|1731759.02|1278427.2|267.85|0|1586350|32158.15|0|0|12/31/2016
C00008409|INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL #302 VOLUNTARY POLITICAL FUND|Q|U|M|273350.29|0|273350.29|0|0|0|0|113701.45|0|10.32|0|0|0|339330.34|498979.18|0|0|17000|0|0|0|12/31/2016
C00008474|CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL)|Q|B|M|1618793.42|0|1616541.42|0|0|0|0|1590333|0|6483|0|0|0|225470.49|253930.91|0|0|1526600|0|0|0|12/31/2016
C00008664|MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL|Y|U|M|4933435.93|3002448.57|784163.16|611710|0|0|0|4860568.92|1142117.1|707.25|0|0|0|9596.1|82485.02|915.97|524092.11|0|60500|0|677550.65|12/31/2016
C00008748|SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL|Q|B|M|574850.59|0|574698.43|0|0|0|0|533940.52|0|0|0|0|0|154737.53|195647.6|0|0|528000|0|0|0|12/31/2016
C00008755|REPUBLICAN PARTY SIXTH CONGRESSIONAL DISTRICT OF WISCONSIN|Y|U|Q|4913.53|0|0|0|0|0|0|4407.14|0|0|0|0|0|280|786|0|0|0|0|0|0|12/31/2016
C00008839|AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|U|M|755952.68|0|755952.68|0|0|0|0|763500|0|150|0|0|0|310035.85|302488.53|0|0|763350|0|0|0|12/31/2016
C00008896|OPEIU LOCAL 153 "VOTE" (VOICE OF THE ELECTORATE) COMMITTEE|Q|U|Q|37961.55|0|37959|0|0|0|0|33610.34|20000|0|0|0|0|6878|11230|0|0|2900|0|0|0|12/31/2016
C00009282|NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND|Q|B|M|1929920.15|0|1912420.15|0|0|0|0|1691815.13|0|263.96|0|0|0|376846.44|614951.46|0|0|1470625|0|0|0|12/31/2016
C00009357|THE RECORDING INDUSTRY ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE|Q|B|Q|68574|0|62574|5000|0|0|0|79500|0|0|0|0|0|19174.6|11043.62|0|0|79500|0|0|0|12/31/2016
C00009423|LAND O'LAKES, INC., PAC|Q|B|Q|403735.59|0|400687.31|0|0|0|0|364030.78|0|0|0|0|0|43404.64|83109.45|0|0|363789.23|0|0|0|12/31/2016
